[0156] ERROR discovered vulnerabilities at or above the severity threshold
NAME                           INSTALLED         FIXED IN          TYPE          VULNERABILITY        SEVERITY  EPSS           RISK
snappy-java                    1.1.7.6           1.1.10.4          java-archive  GHSA-55g7-9cwv-5qfv  High      1.0% (60th)    0.8
zookeeper                      3.9.2             3.9.3             java-archive  GHSA-g93m-8x6h-g5gv  High      0.9% (56th)    0.8
netty-codec-http               4.1.108.Final     4.1.133.Final     java-archive  GHSA-f6hv-jmp6-3vwv  High      1.0% (59th)    0.7
netty-codec-http               4.1.124.Final     4.1.133.Final     java-archive  GHSA-f6hv-jmp6-3vwv  High      1.0% (59th)    0.7
netty-codec-http2              4.1.108.Final     4.1.133.Final     java-archive  GHSA-f6hv-jmp6-3vwv  High      1.0% (59th)    0.7
netty-codec-http2              4.1.124.Final     4.1.133.Final     java-archive  GHSA-f6hv-jmp6-3vwv  High      1.0% (59th)    0.7
netty-codec-dns                4.1.108.Final     4.1.133.Final     java-archive  GHSA-cm33-6792-r9fm  High      1.0% (58th)    0.7
netty-codec-dns                4.1.124.Final     4.1.133.Final     java-archive  GHSA-cm33-6792-r9fm  High      1.0% (58th)    0.7
poi-ooxml                      4.1.2             5.4.0             java-archive  GHSA-gmg8-593g-7mv3  Medium    1.3% (67th)    0.7
poi-ooxml                      5.2.2             5.4.0             java-archive  GHSA-gmg8-593g-7mv3  Medium    1.3% (67th)    0.7
opennlp-tools                  1.9.2             2.5.9             java-archive  GHSA-cx4m-2p55-rw7j  Critical  0.7% (48th)    0.6
jackson-databind               2.12.7.1          2.18.8            java-archive  GHSA-j3rv-43j4-c7qm  High      0.8% (52nd)    0.6
jackson-databind               2.13.3            2.18.8            java-archive  GHSA-j3rv-43j4-c7qm  High      0.8% (52nd)    0.6
jackson-databind               2.17.2            2.18.8            java-archive  GHSA-j3rv-43j4-c7qm  High      0.8% (52nd)    0.6
protobuf-java                  3.11.0            3.16.3            java-archive  GHSA-h4h5-3hr4-j3g2  Medium    1.1% (62nd)    0.6
tomcat-embed-core              9.0.113           9.0.118           java-archive  GHSA-gx5v-xp9w-j4cg  High      0.8% (52nd)    0.6
lz4-java                       1.8.0             1.8.1             java-archive  GHSA-vqf4-7m7x-wgfc  High      0.7% (49th)    0.6
bcprov-jdk15on                 1.69              1.78              java-archive  GHSA-8xfc-gm6g-vgpv  Medium    1.1% (62nd)    0.6
apache-mime4j-core             0.8.3             0.8.10            java-archive  GHSA-jw7r-rxff-gv24  Medium    1.1% (62nd)    0.6
jetty-server                   9.4.44.v20210927  9.4.56            java-archive  GHSA-g8m5-722r-8whq  Medium    1.0% (60th)    0.6
jackson-databind               2.12.7.1          2.18.8            java-archive  GHSA-rmj7-2vxq-3g9f  High      0.7% (50th)    0.6
jackson-databind               2.13.3            2.18.8            java-archive  GHSA-rmj7-2vxq-3g9f  High      0.7% (50th)    0.6
jackson-databind               2.17.2            2.18.8            java-archive  GHSA-rmj7-2vxq-3g9f  High      0.7% (50th)    0.6
netty-codec-http               4.1.108.Final     4.1.133.Final     java-archive  GHSA-57rv-r2g8-2cj3  High      0.8% (51st)    0.6
netty-codec-http               4.1.124.Final     4.1.133.Final     java-archive  GHSA-57rv-r2g8-2cj3  High      0.8% (51st)    0.6
jetty-http                     9.4.44.v20210927  9.4.52            java-archive  GHSA-hmr7-m48g-48f6  Medium    1.1% (61st)    0.6
jackson-core                   2.12.3            2.15.0            java-archive  GHSA-h46c-h94j-95f3  High      0.6% (46th)    0.5
jackson-core                   2.12.7            2.15.0            java-archive  GHSA-h46c-h94j-95f3  High      0.6% (46th)    0.5
jackson-core                   2.13.3            2.15.0            java-archive  GHSA-h46c-h94j-95f3  High      0.6% (46th)    0.5
jackson-core                   2.4.0             2.15.0            java-archive  GHSA-h46c-h94j-95f3  High      0.6% (46th)    0.5
log4j-core                     2.17.1            2.25.4            java-archive  GHSA-3pxv-7cmr-fjr4  Medium    0.9% (54th)    0.5
jose4j                         0.6.5             0.9.4             java-archive  GHSA-6qvw-249j-h44c  Medium    0.9% (55th)    0.5
commons-compress               1.21              1.26.0            java-archive  GHSA-4265-ccf5-phj5  Medium    0.9% (56th)    0.5
netty-codec-haproxy            4.1.108.Final     4.1.136.Final     java-archive  GHSA-q6cq-mhr2-jmr5  High      0.6% (45th)    0.5
netty-codec-haproxy            4.1.124.Final     4.1.136.Final     java-archive  GHSA-q6cq-mhr2-jmr5  High      0.6% (45th)    0.5
netty-codec-http               4.1.108.Final     4.1.136.Final     java-archive  GHSA-jppx-w49h-x2qq  High      0.6% (45th)    0.5
netty-codec-http               4.1.124.Final     4.1.136.Final     java-archive  GHSA-jppx-w49h-x2qq  High      0.6% (45th)    0.5
netty-codec-haproxy            4.1.108.Final     4.1.135.Final     java-archive  GHSA-h2qv-fj59-j46j  High      0.6% (46th)    0.5
netty-codec-haproxy            4.1.124.Final     4.1.135.Final     java-archive  GHSA-h2qv-fj59-j46j  High      0.6% (46th)    0.5
bcprov-jdk15on                 1.69              1.78              java-archive  GHSA-v435-xc8x-wvr9  Medium    0.9% (56th)    0.5
jetty-servlets                 9.4.44.v20210927  9.4.54            java-archive  GHSA-j26w-f9rq-mr2q  Medium    0.9% (57th)    0.5
jose4j                         0.6.5             0.9.3             java-archive  GHSA-7g24-qg88-p43q  High      0.6% (47th)    0.5
jetty-http                     9.4.44.v20210927  12.0.12           java-archive  GHSA-qh8g-58pp-2wxh  Medium    1.0% (58th)    0.5
jetty-http                     9.4.57.v20241219  12.0.12           java-archive  GHSA-qh8g-58pp-2wxh  Medium    1.0% (58th)    0.5
netty-codec-http               4.1.108.Final     4.1.132.Final     java-archive  GHSA-pwqr-wmgm-9rr8  High      0.6% (47th)    0.5
netty-codec-http               4.1.124.Final     4.1.132.Final     java-archive  GHSA-pwqr-wmgm-9rr8  High      0.6% (47th)    0.5
solr-core                      8.11.2            9.10.1            java-archive  GHSA-vc2w-4v3p-2mqw  High      0.7% (47th)    0.5
zookeeper                      3.9.2             3.9.5             java-archive  GHSA-7xrh-hqfc-g7qr  High      0.6% (46th)    0.5
libthrift                      0.14.0            0.23.0            java-archive  GHSA-7pwc-h2j2-rjgj  High      0.6% (46th)    0.5
libthrift                      0.14.1            0.23.0            java-archive  GHSA-7pwc-h2j2-rjgj  High      0.6% (46th)    0.5
netty-codec-haproxy            4.1.108.Final     4.1.135.Final     java-archive  GHSA-cc37-9q2j-3hfv  High      0.6% (46th)    0.5
netty-codec-haproxy            4.1.124.Final     4.1.135.Final     java-archive  GHSA-cc37-9q2j-3hfv  High      0.6% (46th)    0.5
opennlp-tools                  1.9.2             2.5.9             java-archive  GHSA-659w-93r5-9j6m  High      0.6% (45th)    0.5
opennlp-tools                  1.9.2             2.5.9             java-archive  GHSA-4v8g-86x5-3vrc  Critical  0.5% (39th)    0.4
netty-handler                  4.1.108.Final     4.1.135.Final     java-archive  GHSA-3qp7-7mw8-wx86  High      0.6% (44th)    0.4
netty-handler                  4.1.124.Final     4.1.135.Final     java-archive  GHSA-3qp7-7mw8-wx86  High      0.6% (44th)    0.4
netty-handler                  4.1.68.Final      4.1.135.Final     java-archive  GHSA-3qp7-7mw8-wx86  High      0.6% (44th)    0.4
tomcat-embed-core              9.0.113           9.0.118           java-archive  GHSA-fv25-8xcx-gqjc  High      0.6% (45th)    0.4
nimbus-jose-jwt                10.0.1            10.0.2            java-archive  GHSA-xwmg-2g98-w7v9  Medium    0.8% (53rd)    0.4
nimbus-jose-jwt                9.37.2            9.37.4            java-archive  GHSA-xwmg-2g98-w7v9  Medium    0.8% (53rd)    0.4
log4j-core                     2.17.1            2.25.3            java-archive  GHSA-vc5p-v9hr-52mj  Medium    0.8% (51st)    0.4
protobuf-java                  3.11.0            3.16.3            java-archive  GHSA-g5ww-5jh7-63cx  High      0.6% (43rd)    0.4
spring-security-crypto         5.7.12            5.7.16            java-archive  GHSA-mg83-c7gq-rv5c  High      0.6% (43rd)    0.4
bcprov-jdk15on                 1.69              1.78              java-archive  GHSA-4h8f-2wvx-gg5w  Medium    0.8% (52nd)    0.4
netty-codec-redis              4.1.108.Final     4.1.135.Final     java-archive  GHSA-6jv9-x5w9-2ccm  High      0.5% (40th)    0.4
netty-codec-redis              4.1.124.Final     4.1.135.Final     java-archive  GHSA-6jv9-x5w9-2ccm  High      0.5% (40th)    0.4
log4j-layout-template-json     2.17.1            2.25.4            java-archive  GHSA-w35j-pv5h-q9q9  Medium    0.7% (49th)    0.4
tomcat-embed-core              9.0.113           9.0.116           java-archive  GHSA-563x-q5rq-57qp  High      0.5% (41st)    0.4
jline-remote-telnet            3.9.0             4.2.1             java-archive  GHSA-2r2c-cx56-8933  High      0.5% (40th)    0.4
solr-core                      8.11.2            9.10.1            java-archive  GHSA-qr3p-2xj2-q7hq  High      0.5% (39th)    0.4
jline-remote-telnet            3.9.0             4.2.1             java-archive  GHSA-47qp-hqvx-6r3f  High      0.5% (40th)    0.4
tomcat-embed-core              9.0.113           9.0.115           java-archive  GHSA-mgp5-rv84-w37q  High      0.5% (39th)    0.4
protobuf-java                  3.11.0            3.16.3            java-archive  GHSA-4gg5-vx3j-xwc7  High      0.5% (39th)    0.4
jetty-server                   9.4.44.v20210927  9.4.57.v20241219  java-archive  GHSA-q4rv-gq96-w7c5  High      0.5% (39th)    0.4
netty-handler                  4.1.108.Final     4.1.135.Final     java-archive  GHSA-x4gw-5cx5-pgmh  High      0.5% (38th)    0.4
netty-handler                  4.1.124.Final     4.1.135.Final     java-archive  GHSA-x4gw-5cx5-pgmh  High      0.5% (38th)    0.4
netty-handler                  4.1.68.Final      4.1.135.Final     java-archive  GHSA-x4gw-5cx5-pgmh  High      0.5% (38th)    0.4
jetty-server                   9.4.44.v20210927  9.4.51.v20230217  java-archive  GHSA-p26g-97m4-6q7c  Low       1.3% (67th)    0.4
tomcat-embed-core              9.0.113           9.0.118           java-archive  GHSA-5mp6-jrq3-r938  High      0.5% (38th)    0.4
tomcat-embed-core              9.0.113           9.0.116           java-archive  GHSA-rv64-5gf8-9qq8  High      0.5% (37th)    0.3
jetty-http                     9.4.44.v20210927  9.4.47            java-archive  GHSA-cj7v-27pg-wf7q  Low       1.2% (64th)    0.3
netty-codec                    4.1.108.Final     4.1.125.Final     java-archive  GHSA-3p8m-j85q-pgmj  Medium    0.6% (43rd)    0.3
netty-codec                    4.1.124.Final     4.1.125.Final     java-archive  GHSA-3p8m-j85q-pgmj  Medium    0.6% (43rd)    0.3
netty-codec                    4.1.68.Final      4.1.125.Final     java-archive  GHSA-3p8m-j85q-pgmj  Medium    0.6% (43rd)    0.3
netty-codec-http               4.1.108.Final     4.1.133.Final     java-archive  GHSA-xxqh-mfjm-7mv9  Medium    0.6% (45th)    0.3
netty-codec-http               4.1.124.Final     4.1.133.Final     java-archive  GHSA-xxqh-mfjm-7mv9  Medium    0.6% (45th)    0.3
jetty-servlets                 9.4.44.v20210927  9.4.52            java-archive  GHSA-3gh6-v5v9-6v9j  Low       1.0% (59th)    0.3
netty-codec                    4.1.108.Final     4.1.133.Final     java-archive  GHSA-mj4r-2hfc-f8p6  High      0.4% (35th)    0.3
netty-codec                    4.1.124.Final     4.1.133.Final     java-archive  GHSA-mj4r-2hfc-f8p6  High      0.4% (35th)    0.3
netty-codec                    4.1.68.Final      4.1.133.Final     java-archive  GHSA-mj4r-2hfc-f8p6  High      0.4% (35th)    0.3
log4j-1.2-api                  2.17.1            2.25.4            java-archive  GHSA-h383-gmxw-35v2  Medium    0.5% (42nd)    0.3
netty-codec-http2              4.1.108.Final     4.1.135.Final     java-archive  GHSA-c2gf-v879-257j  Medium    0.6% (46th)    0.3
netty-codec-http2              4.1.124.Final     4.1.135.Final     java-archive  GHSA-c2gf-v879-257j  Medium    0.6% (46th)    0.3
netty-codec-http               4.1.108.Final     4.1.136.Final     java-archive  GHSA-6jqx-86gh-f27w  High      0.4% (34th)    0.3
netty-codec-http               4.1.108.Final     4.1.136.Final     java-archive  GHSA-mvh2-crg5-v77c  High      0.4% (34th)    0.3
netty-codec-http               4.1.124.Final     4.1.136.Final     java-archive  GHSA-6jqx-86gh-f27w  High      0.4% (34th)    0.3
netty-codec-http               4.1.124.Final     4.1.136.Final     java-archive  GHSA-mvh2-crg5-v77c  High      0.4% (34th)    0.3
netty-codec-stomp              4.1.108.Final     4.1.136.Final     java-archive  GHSA-vhch-2wf3-m8rp  High      0.4% (34th)    0.3
netty-codec-stomp              4.1.124.Final     4.1.136.Final     java-archive  GHSA-vhch-2wf3-m8rp  High      0.4% (34th)    0.3
guava                          25.0-jre          32.0.0-android    java-archive  GHSA-5mg8-w23w-74h3  Low       1.0% (58th)    0.3
guava                          25.1-jre          32.0.0-android    java-archive  GHSA-5mg8-w23w-74h3  Low       1.0% (58th)    0.3
tomcat-embed-core              9.0.113           9.0.116           java-archive  GHSA-9m3c-qcxr-9x87  Medium    0.5% (41st)    0.3
aircompressor                  0.27              2.0.3             java-archive  GHSA-vx9q-rhv9-3jvg  High      0.4% (30th)    0.3
netty-codec-xml                4.1.108.Final     4.1.136.Final     java-archive  GHSA-4qhr-g3c6-fcfx  High      0.4% (29th)    0.3
netty-codec-xml                4.1.124.Final     4.1.136.Final     java-archive  GHSA-4qhr-g3c6-fcfx  High      0.4% (29th)    0.3
netty-codec-redis              4.1.108.Final     4.1.135.Final     java-archive  GHSA-5w86-c3rq-vjj7  High      0.4% (31st)    0.3
netty-codec-redis              4.1.108.Final     4.1.135.Final     java-archive  GHSA-6ghj-frrj-jjj3  High      0.4% (31st)    0.3
netty-codec-redis              4.1.124.Final     4.1.135.Final     java-archive  GHSA-5w86-c3rq-vjj7  High      0.4% (31st)    0.3
netty-codec-redis              4.1.124.Final     4.1.135.Final     java-archive  GHSA-6ghj-frrj-jjj3  High      0.4% (31st)    0.3
netty-transport-sctp           4.1.108.Final     4.1.135.Final     java-archive  GHSA-5xrh-qmmq-w6ch  High      0.4% (31st)    0.3
netty-transport-sctp           4.1.124.Final     4.1.135.Final     java-archive  GHSA-5xrh-qmmq-w6ch  High      0.4% (31st)    0.3
